timestamp_ms,mean_brightness,expected_brightness
333,107.46273828125,230.21934886313585
620,221.43676171875,210.8028939858139
1001,214.12103125,187.5333216632805
1332,198.406337890625,169.41300414122765
1688,185.345642578125,151.87344041329393
3219,170.459900390625,94.91963110276157
3544,123.72034375,85.90616063975588
3835,115.475392578125,78.56439014283755
4157,110.093671875,71.16951347267151
4426,103.524650390625,65.5282629607958
4727,98.90413671875,59.744345189827484
4994,93.675513671875,55.04249620499784
5297,90.152,50.15331155146755
5546,85.6245390625,46.462314593392435
5832,82.5606875,42.55679535797767
6171,78.468697265625,38.350460867956116
6431,74.938146484375,35.40831024093445
6784,72.45850390625,31.77168693256736
8293,69.00156640625,19.991607193561507
9372,54.091994140625,14.354443490195967
10168,44.851419921875,11.242346040589615
10555,40.1686875,9.982949074891597
10742,37.12462109375,9.42597847723239
11021,37.090556640625,8.652225275641738
11223,35.624068359375,8.131964620935353
11413,34.171232421875,7.671196074656335
11641,33.99098046875,7.152604421656804
11810,32.516181640625,6.79096834740457
11966,32.51762890625,6.473400468384258
12145,32.520458984375,6.12726537478598
12328,31.04582421875,5.792520666715496
12482,31.145697265625,5.525034795203783
12660,31.04091015625,5.231214897921674
12820,29.668921875,4.980466419367591
13032,29.539771484375,4.6666410197231
13160,29.5790859375,4.486817015635715
13280,28.11319140625,4.324530351151344
13431,28.05165234375,4.128633766735724
13553,28.106666015625,3.976859928282785
13727,28.06895703125,3.769998279743762
13841,28.131697265625,3.6403380388710826
13981,26.6605625,3.4871910142517355
14108,26.67399609375,3.3538453229810936
14263,26.684431640625,3.197990184542891
14359,26.699623046875,3.1051143585509995
14473,26.6672578125,2.998321239352467
14656,26.683845703125,2.8345169797722094
14777,26.66796484375,2.7311548593736172
14877,25.297021484375,2.648582377989717
15006,24.927083984375,2.550434011199897
15119,24.908048828125,2.550434011199897
15206,24.9123671875,2.550434011199897
15289,24.9092890625,2.550434011199897
15327,22.597193359375,2.550434011199897
15371,22.348208984375,2.550434011199897
15455,22.333513671875,2.550434011199897
15492,22.3421640625,2.550434011199897
15532,22.3318046875,2.550434011199897
15589,22.33889453125,2.550434011199897
15642,22.32857421875,2.550434011199897
15708,22.350892578125,2.550434011199897
15748,22.333376953125,2.550434011199897
15814,22.01753515625,2.550434011199897
15864,21.6398515625,2.550434011199897
15918,21.6357109375,2.550434011199897
15987,21.63209375,2.550434011199897
16044,21.613763671875,2.550434011199897
16094,21.572640625,2.550434011199897
16148,21.57127734375,2.550434011199897
16211,21.56285546875,2.550434011199897
16282,21.5907109375,2.550434011199897
16348,21.819099609375,2.550434011199897
16399,21.834271484375,2.550434011199897
16440,21.8493984375,2.550434011199897
16477,21.376771484375,2.550434011199897
16533,21.4113984375,2.550434011199897
16619,21.38297265625,2.550434011199897
16738,21.37124609375,2.550434011199897
16794,21.84550390625,2.550434011199897
16850,21.851841796875,2.550434011199897
16917,21.82690625,2.550434011199897
16967,21.848294921875,2.550434011199897
17012,21.372357421875,2.550434011199897
17053,21.3741328125,2.550434011199897
17100,21.35767578125,2.550434011199897
17167,21.36203515625,2.550434011199897
17238,21.36669140625,2.550434011199897
17284,21.84626171875,2.550434011199897
17337,21.850318359375,2.550434011199897
17378,21.84773046875,2.550434011199897
17462,21.836716796875,2.550434011199897
17521,21.39394921875,2.550434011199897
17568,21.3952421875,2.550434011199897
17593,21.375419921875,2.550434011199897
17645,21.393423828125,2.550434011199897
17688,21.8266484375,2.550434011199897
17744,21.85872265625,2.550434011199897
17788,21.855740234375,2.550434011199897
17880,21.85107421875,2.550434011199897
17952,21.84159375,2.550434011199897
